;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16
175;105040.9328719783;105040.9328719783;105040.9328719783;108600.21284526229;105040.9328719783;105040.9328719783;105040.9328719783;105040.9328719783;0;105040.9328719783;105040.9328719783;108600.21284526229;105040.9328719783;108600.21284526229;108600.21284526229
176;0;0;0;0;0;0;0;0;128772.76714546679;0;0;0;0;0;0
177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;0;0;0;0;0;0;0;0;129778.57298476085;0;0;0;0;0;0
181;0;0;0;109307.67944010404;0;0;0;0;0;0;0;109307.67944010404;0;109307.67944010404;109307.67944010404
182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184;0;0;0;0;0;0;0;0;130382.10138465765;0;0;0;0;0;0
185;105631.30952650374;105631.30952650374;105631.30952650374;0;105631.30952650374;105631.30952650374;105631.30952650374;105631.30952650374;0;105631.30952650374;105631.30952650374;0;105631.30952650374;0;0
186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
187;0;0;0;109873.67806809962;0;0;0;0;0;0;0;109873.67806809962;0;109873.67806809962;109873.67806809962
188;0;0;0;0;0;0;0;0;130382.10138465765;0;0;0;0;0;0
189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192;0;0;0;0;0;0;0;0;132394.32801235188;0;0;0;0;0;0
193;0;0;0;111543.90464887011;0;0;0;0;0;0;0;111543.90464887011;0;111543.90464887011;111543.90464887011
194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
195;107698.41538240018;107698.41538240018;107698.41538240018;0;107698.41538240018;107698.41538240018;107698.41538240018;107698.41538240018;101107.22021532274;107698.41538240018;107698.41538240018;0;107698.41538240018;0;0
196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
198;0;0;0;0;0;0;0;0;101711.18016260961;0;0;0;0;0;0
199;0;0;0;114035.76626997466;0;0;0;0;0;0;0;114035.76626997466;0;114035.76626997466;114035.76626997466
200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201;0;0;0;0;0;0;0;0;100905.90205407461;0;0;0;0;0;0
202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
204;0;0;0;0;0;0;0;0;100805.24916529858;0;0;0;0;0;0
205;109569.02747630957;109569.02747630957;109569.02747630957;113271.05360590178;109569.02747630957;109569.02747630957;109569.02747630957;109569.02747630957;0;109569.02747630957;109569.02747630957;113271.05360590178;109569.02747630957;113271.05360590178;113271.05360590178
206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
207;0;0;0;0;0;0;0;0;100805.24916529858;0;0;0;0;0;0
208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
